AÑO;MES;MUNICIPIO;DATOS
2685;junio;Santa Cruz de Tenerife;4171765
2686;julio;Santa Cruz de Tenerife;4171765
2687;agosto;Santa Cruz de Tenerife;4171765
2688;septiembre;Santa Cruz de Tenerife;4171765
2689;octubre;Santa Cruz de Tenerife;4171765
2690;noviemrbe;Santa Cruz de Tenerife;4171765
2691;diciembre;Santa Cruz de Tenerife;4171765
2692;enero;Santa Cruz de Tenerife;4874392
2693;febrero;Santa Cruz de Tenerife;4874392
2694;marzo;Santa Cruz de Tenerife;4874392
2695;abril;Santa Cruz de Tenerife;4874392
2696;mayo;Santa Cruz de Tenerife;4874392
2697;junio;Santa Cruz de Tenerife;4874392
2698;julio;Santa Cruz de Tenerife;4874392
2699;agosto;Santa Cruz de Tenerife;4874392
2700;septiembre;Santa Cruz de Tenerife;4874392
2701;octubre;Santa Cruz de Tenerife;4874392
2702;noviemrbe;Santa Cruz de Tenerife;4874392
2703;diciembre;Santa Cruz de Tenerife;4874392
2704;enero;Santa Cruz de Tenerife;11023393
2705;febrero;Santa Cruz de Tenerife;11023393
2706;marzo;Santa Cruz de Tenerife;11023393
2707;abril;Santa Cruz de Tenerife;11023393
2708;mayo;Santa Cruz de Tenerife;11023393
2709;junio;Santa Cruz de Tenerife;11023393
2710;julio;Santa Cruz de Tenerife;11023393
2711;agosto;Santa Cruz de Tenerife;11023393
2712;septiembre;Santa Cruz de Tenerife;11023393
2713;octubre;Santa Cruz de Tenerife;11023393
2714;noviemrbe;Santa Cruz de Tenerife;11023393
2715;diciembre;Santa Cruz de Tenerife;11023393
2716;enero;Santa Cruz de Tenerife;13312395
2717;febrero;Santa Cruz de Tenerife;13312395
2718;marzo;Santa Cruz de Tenerife;13312395
2719;abril;Santa Cruz de Tenerife;13312395
2720;mayo;Santa Cruz de Tenerife;13312395
2721;junio;Santa Cruz de Tenerife;13312395
2722;julio;Santa Cruz de Tenerife;13312395
2723;agosto;Santa Cruz de Tenerife;13312395
2724;septiembre;Santa Cruz de Tenerife;13312395
2725;octubre;Santa Cruz de Tenerife;13312395
2726;noviemrbe;Santa Cruz de Tenerife;13312395
2727;diciembre;Santa Cruz de Tenerife;13312395
2728;enero;Santa Cruz de Tenerife;13569562
2729;febrero;Santa Cruz de Tenerife;13569562
2730;marzo;Santa Cruz de Tenerife;13569562
2731;abril;Santa Cruz de Tenerife;13569562
2732;mayo;Santa Cruz de Tenerife;13569562
2733;junio;Santa Cruz de Tenerife;13569562
2734;julio;Santa Cruz de Tenerife;13569562
2735;agosto;Santa Cruz de Tenerife;13569562
2736;septiembre;Santa Cruz de Tenerife;13569562
2737;octubre;Santa Cruz de Tenerife;13569562
2738;noviemrbe;Santa Cruz de Tenerife;13569562
2739;diciembre;Santa Cruz de Tenerife;13569562
2740;enero;Santa Cruz de Tenerife;13682752
2741;febrero;Santa Cruz de Tenerife;13682752
2742;marzo;Santa Cruz de Tenerife;13682752
2743;abril;Santa Cruz de Tenerife;13682752
2744;mayo;Santa Cruz de Tenerife;13682752
2745;junio;Santa Cruz de Tenerife;13682752
2746;julio;Santa Cruz de Tenerife;13682752
2747;agosto;Santa Cruz de Tenerife;13682752
2748;septiembre;Santa Cruz de Tenerife;13682752
2749;octubre;Santa Cruz de Tenerife;13682752
2750;noviemrbe;Santa Cruz de Tenerife;13682752
2751;diciembre;Santa Cruz de Tenerife;13682752
2752;enero;Santa Cruz de Tenerife;13878448
2753;febrero;Santa Cruz de Tenerife;13878448
2754;marzo;Santa Cruz de Tenerife;13878448
2755;abril;Santa Cruz de Tenerife;13878448
2756;mayo;Santa Cruz de Tenerife;13878448
2757;junio;Santa Cruz de Tenerife;13878448
2758;julio;Santa Cruz de Tenerife;13878448
2759;agosto;Santa Cruz de Tenerife;13878448
2760;septiembre;Santa Cruz de Tenerife;13878448
2761;octubre;Santa Cruz de Tenerife;13878448
2762;noviemrbe;Santa Cruz de Tenerife;13878448
2763;diciembre;Santa Cruz de Tenerife;13878448
2764;enero;Santa Cruz de Tenerife;14449383
2765;febrero;Santa Cruz de Tenerife;14449383
2766;marzo;Santa Cruz de Tenerife;14449383
2767;abril;Santa Cruz de Tenerife;14449383
2768;mayo;Santa Cruz de Tenerife;14449383
2769;junio;Santa Cruz de Tenerife;14449383
2770;julio;Santa Cruz de Tenerife;14449383
2771;agosto;Santa Cruz de Tenerife;14449383
2772;septiembre;Santa Cruz de Tenerife;14449383
2773;octubre;Santa Cruz de Tenerife;14449383
2774;noviemrbe;Santa Cruz de Tenerife;14449383
2775;diciembre;Santa Cruz de Tenerife;14449383
2776;enero;Santa Cruz de Tenerife;14475130
2777;febrero;Santa Cruz de Tenerife;14475130
2778;marzo;Santa Cruz de Tenerife;14475130
2779;abril;Santa Cruz de Tenerife;14475130
2780;mayo;Santa Cruz de Tenerife;14475130
2781;junio;Santa Cruz de Tenerife;14475130
2782;julio;Santa Cruz de Tenerife;14475130
2783;agosto;Santa Cruz de Tenerife;14475130
2784;septiembre;Santa Cruz de Tenerife;14475130
2785;octubre;Santa Cruz de Tenerife;14475130
2786;noviemrbe;Santa Cruz de Tenerife;14475130
2787;diciembre;Santa Cruz de Tenerife;14475130
2788;enero;Santa Cruz de Tenerife;14778389
2789;febrero;Santa Cruz de Tenerife;14778389
2790;marzo;Santa Cruz de Tenerife;14778389
2791;abril;Santa Cruz de Tenerife;14778389
2792;mayo;Santa Cruz de Tenerife;14778389
2793;junio;Santa Cruz de Tenerife;14778389
2794;julio;Santa Cruz de Tenerife;14778389
2795;agosto;Santa Cruz de Tenerife;14778389
2796;septiembre;Santa Cruz de Tenerife;14778389
2797;octubre;Santa Cruz de Tenerife;14778389
2798;noviemrbe;Santa Cruz de Tenerife;14778389
2799;diciembre;Santa Cruz de Tenerife;14778389
2800;enero;Santa Cruz de Tenerife;14973382
2801;febrero;Santa Cruz de Tenerife;14973382
2802;marzo;Santa Cruz de Tenerife;14973382
2803;abril;Santa Cruz de Tenerife;14973382
2804;mayo;Santa Cruz de Tenerife;14973382
2805;junio;Santa Cruz de Tenerife;14973382
2806;julio;Santa Cruz de Tenerife;14973382
2807;agosto;Santa Cruz de Tenerife;14973382
2808;septiembre;Santa Cruz de Tenerife;14973382
2809;octubre;Santa Cruz de Tenerife;14973382
2810;noviemrbe;Santa Cruz de Tenerife;14973382
2811;diciembre;Santa Cruz de Tenerife;14973382
2812;enero;Santa Cruz de Tenerife;15001627
2813;febrero;Santa Cruz de Tenerife;15001627
2814;marzo;Santa Cruz de Tenerife;15001627
2815;abril;Santa Cruz de Tenerife;15001627
2816;mayo;Santa Cruz de Tenerife;15001627
2817;junio;Santa Cruz de Tenerife;15001627
2818;julio;Santa Cruz de Tenerife;15001627
2819;agosto;Santa Cruz de Tenerife;15001627
2820;septiembre;Santa Cruz de Tenerife;15001627
2821;octubre;Santa Cruz de Tenerife;15001627
2822;noviemrbe;Santa Cruz de Tenerife;15001627
2823;diciembre;Santa Cruz de Tenerife;15001627
2824;enero;Santa Cruz de Tenerife;15092254
2825;febrero;Santa Cruz de Tenerife;15092254
2826;marzo;Santa Cruz de Tenerife;15092254
2827;abril;Santa Cruz de Tenerife;15092254
2828;mayo;Santa Cruz de Tenerife;15092254
2829;junio;Santa Cruz de Tenerife;15092254
2830;julio;Santa Cruz de Tenerife;15092254
2831;agosto;Santa Cruz de Tenerife;15092254
2832;septiembre;Santa Cruz de Tenerife;15092254
2833;octubre;Santa Cruz de Tenerife;15092254
2834;noviemrbe;Santa Cruz de Tenerife;15092254
2835;diciembre;Santa Cruz de Tenerife;15092254
2836;enero;Santa Cruz de Tenerife;15277782
2837;febrero;Santa Cruz de Tenerife;15277782
2838;marzo;Santa Cruz de Tenerife;15277782
2839;abril;Santa Cruz de Tenerife;15277782
2840;mayo;Santa Cruz de Tenerife;15277782
2841;junio;Santa Cruz de Tenerife;15277782
2842;julio;Santa Cruz de Tenerife;15277782
2843;agosto;Santa Cruz de Tenerife;15277782
2844;septiembre;Santa Cruz de Tenerife;15277782
2845;octubre;Santa Cruz de Tenerife;15277782
2846;noviemrbe;Santa Cruz de Tenerife;15277782
2847;diciembre;Santa Cruz de Tenerife;15277782
2848;enero;Santa Cruz de Tenerife;15386352
2849;febrero;Santa Cruz de Tenerife;15386352
2850;marzo;Santa Cruz de Tenerife;15386352
2851;abril;Santa Cruz de Tenerife;15386352
2852;mayo;Santa Cruz de Tenerife;15386352
2853;junio;Santa Cruz de Tenerife;15386352
2854;julio;Santa Cruz de Tenerife;15386352
2855;agosto;Santa Cruz de Tenerife;15386352
2856;septiembre;Santa Cruz de Tenerife;15386352
2857;octubre;Santa Cruz de Tenerife;15386352
2858;noviemrbe;Santa Cruz de Tenerife;15386352
2859;diciembre;Santa Cruz de Tenerife;15386352
2860;enero;Santa Cruz de Tenerife;15640137
2861;febrero;Santa Cruz de Tenerife;15640137
2862;marzo;Santa Cruz de Tenerife;15640137
2863;abril;Santa Cruz de Tenerife;15640137
2864;mayo;Santa Cruz de Tenerife;15640137
2865;junio;Santa Cruz de Tenerife;15640137
2866;julio;Santa Cruz de Tenerife;15640137
2867;agosto;Santa Cruz de Tenerife;15640137
2868;septiembre;Santa Cruz de Tenerife;15640137
2869;octubre;Santa Cruz de Tenerife;15640137
2870;noviemrbe;Santa Cruz de Tenerife;15640137
2871;diciembre;Santa Cruz de Tenerife;15640137
2872;enero;Santa Cruz de Tenerife;18769893
2873;febrero;Santa Cruz de Tenerife;18769893
2874;marzo;Santa Cruz de Tenerife;18769893
2875;abril;Santa Cruz de Tenerife;18769893
2876;mayo;Santa Cruz de Tenerife;18769893
2877;junio;Santa Cruz de Tenerife;18769893
2878;julio;Santa Cruz de Tenerife;18769893
2879;agosto;Santa Cruz de Tenerife;18769893
2880;septiembre;Santa Cruz de Tenerife;18769893
2881;octubre;Santa Cruz de Tenerife;18769893
2882;noviemrbe;Santa Cruz de Tenerife;18769893
2883;diciembre;Santa Cruz de Tenerife;18769893
2884;enero;Santa Cruz de Tenerife;21899649
2885;febrero;Santa Cruz de Tenerife;21899649
2886;marzo;Santa Cruz de Tenerife;21899649
2887;abril;Santa Cruz de Tenerife;21899649
2888;mayo;Santa Cruz de Tenerife;21899649
2889;junio;Santa Cruz de Tenerife;21899649
2890;julio;Santa Cruz de Tenerife;21899649
2891;agosto;Santa Cruz de Tenerife;21899649
2892;septiembre;Santa Cruz de Tenerife;21899649
2893;octubre;Santa Cruz de Tenerife;21899649
2894;noviemrbe;Santa Cruz de Tenerife;21899649
2895;diciembre;Santa Cruz de Tenerife;21899649
2896;enero;Santa Cruz de Tenerife;22133991
2897;febrero;Santa Cruz de Tenerife;22133991
2898;marzo;Santa Cruz de Tenerife;22133991
2899;abril;Santa Cruz de Tenerife;22133991
2900;mayo;Santa Cruz de Tenerife;22133991
2901;junio;Santa Cruz de Tenerife;22133991
2902;julio;Santa Cruz de Tenerife;22133991
2903;agosto;Santa Cruz de Tenerife;22133991
2904;septiembre;Santa Cruz de Tenerife;22133991
2905;octubre;Santa Cruz de Tenerife;22133991
2906;noviemrbe;Santa Cruz de Tenerife;22133991
2907;diciembre;Santa Cruz de Tenerife;22133991
2908;enero;Santa Cruz de Tenerife;22221232
2909;febrero;Santa Cruz de Tenerife;22221232
2910;marzo;Santa Cruz de Tenerife;22221232
2911;abril;Santa Cruz de Tenerife;22221232
2912;mayo;Santa Cruz de Tenerife;22221232
2913;junio;Santa Cruz de Tenerife;22221232
2914;julio;Santa Cruz de Tenerife;22221232
2915;agosto;Santa Cruz de Tenerife;22221232
2916;septiembre;Santa Cruz de Tenerife;22221232
2917;octubre;Santa Cruz de Tenerife;22221232
2918;noviemrbe;Santa Cruz de Tenerife;22221232
2919;diciembre;Santa Cruz de Tenerife;22221232
2920;enero;Santa Cruz de Tenerife;22352788
2921;febrero;Santa Cruz de Tenerife;22352788
2922;marzo;Santa Cruz de Tenerife;22352788
2923;abril;Santa Cruz de Tenerife;22352788
2924;mayo;Santa Cruz de Tenerife;22352788
2925;junio;Santa Cruz de Tenerife;22352788
2926;julio;Santa Cruz de Tenerife;22352788
2927;agosto;Santa Cruz de Tenerife;22352788
2928;septiembre;Santa Cruz de Tenerife;22352788
2929;octubre;Santa Cruz de Tenerife;22352788
2930;noviemrbe;Santa Cruz de Tenerife;22352788
2931;diciembre;Santa Cruz de Tenerife;22352788
2932;enero;Santa Cruz de Tenerife;22997897
2933;febrero;Santa Cruz de Tenerife;22997897
2934;marzo;Santa Cruz de Tenerife;22997897
2935;abril;Santa Cruz de Tenerife;22997897
2936;mayo;Santa Cruz de Tenerife;22997897
2937;junio;Santa Cruz de Tenerife;22997897
2938;julio;Santa Cruz de Tenerife;22997897
2939;agosto;Santa Cruz de Tenerife;22997897
2940;septiembre;Santa Cruz de Tenerife;22997897
2941;octubre;Santa Cruz de Tenerife;22997897
2942;noviemrbe;Santa Cruz de Tenerife;22997897
2943;diciembre;Santa Cruz de Tenerife;22997897
2944;enero;Santa Cruz de Tenerife;23395329
2945;febrero;Santa Cruz de Tenerife;23395329
2946;marzo;Santa Cruz de Tenerife;23395329
2947;abril;Santa Cruz de Tenerife;23395329
2948;mayo;Santa Cruz de Tenerife;23395329
2949;junio;Santa Cruz de Tenerife;23395329
2950;julio;Santa Cruz de Tenerife;23395329
2951;agosto;Santa Cruz de Tenerife;23395329
2952;septiembre;Santa Cruz de Tenerife;23395329
2953;octubre;Santa Cruz de Tenerife;23395329
2954;noviemrbe;Santa Cruz de Tenerife;23395329
2955;diciembre;Santa Cruz de Tenerife;23395329
2956;enero;Santa Cruz de Tenerife;23441660
2957;febrero;Santa Cruz de Tenerife;23441660
2958;marzo;Santa Cruz de Tenerife;23441660
2959;abril;Santa Cruz de Tenerife;23441660
2960;mayo;Santa Cruz de Tenerife;23441660
2961;junio;Santa Cruz de Tenerife;23441660
2962;julio;Santa Cruz de Tenerife;23441660
2963;agosto;Santa Cruz de Tenerife;23441660
2964;septiembre;Santa Cruz de Tenerife;23441660
2965;octubre;Santa Cruz de Tenerife;23441660
2966;noviemrbe;Santa Cruz de Tenerife;23441660
2967;diciembre;Santa Cruz de Tenerife;23441660
2968;enero;Santa Cruz de Tenerife;23523287
2969;febrero;Santa Cruz de Tenerife;23523287
2970;marzo;Santa Cruz de Tenerife;23523287
2971;abril;Santa Cruz de Tenerife;23523287
2972;mayo;Santa Cruz de Tenerife;23523287
2973;junio;Santa Cruz de Tenerife;23523287
2974;julio;Santa Cruz de Tenerife;23523287
2975;agosto;Santa Cruz de Tenerife;23523287
2976;septiembre;Santa Cruz de Tenerife;23523287
2977;octubre;Santa Cruz de Tenerife;23523287
2978;noviemrbe;Santa Cruz de Tenerife;23523287
2979;diciembre;Santa Cruz de Tenerife;23523287
2980;enero;Santa Cruz de Tenerife;23665892
2981;febrero;Santa Cruz de Tenerife;23665892
2982;marzo;Santa Cruz de Tenerife;23665892
2983;abril;Santa Cruz de Tenerife;23665892
2984;mayo;Santa Cruz de Tenerife;23665892
2985;junio;Santa Cruz de Tenerife;23665892
2986;julio;Santa Cruz de Tenerife;23665892
2987;agosto;Santa Cruz de Tenerife;23665892
2988;septiembre;Santa Cruz de Tenerife;23665892
2989;octubre;Santa Cruz de Tenerife;23665892
2990;noviemrbe;Santa Cruz de Tenerife;23665892
2991;diciembre;Santa Cruz de Tenerife;23665892
2992;enero;Santa Cruz de Tenerife;23699561
2993;febrero;Santa Cruz de Tenerife;23699561
2994;marzo;Santa Cruz de Tenerife;23699561
2995;abril;Santa Cruz de Tenerife;23699561
2996;mayo;Santa Cruz de Tenerife;23699561
2997;junio;Santa Cruz de Tenerife;23699561
2998;julio;Santa Cruz de Tenerife;23699561
2999;agosto;Santa Cruz de Tenerife;23699561
3000;septiembre;Santa Cruz de Tenerife;23699561
3001;octubre;Santa Cruz de Tenerife;23699561
3002;noviemrbe;Santa Cruz de Tenerife;23699561
3003;diciembre;Santa Cruz de Tenerife;23699561
3004;enero;Santa Cruz de Tenerife;23757249
3005;febrero;Santa Cruz de Tenerife;23757249
3006;marzo;Santa Cruz de Tenerife;23757249
3007;abril;Santa Cruz de Tenerife;23757249
3008;mayo;Santa Cruz de Tenerife;23757249
3009;junio;Santa Cruz de Tenerife;23757249
3010;julio;Santa Cruz de Tenerife;23757249
3011;agosto;Santa Cruz de Tenerife;23757249
3012;septiembre;Santa Cruz de Tenerife;23757249
3013;octubre;Santa Cruz de Tenerife;23757249
3014;noviemrbe;Santa Cruz de Tenerife;23757249
3015;diciembre;Santa Cruz de Tenerife;23757249
3016;enero;Santa Cruz de Tenerife;23796911
3017;febrero;Santa Cruz de Tenerife;23796911
3018;marzo;Santa Cruz de Tenerife;23796911
3019;abril;Santa Cruz de Tenerife;23796911
3020;mayo;Santa Cruz de Tenerife;23796911
3021;junio;Santa Cruz de Tenerife;23796911
3022;julio;Santa Cruz de Tenerife;23796911
3023;agosto;Santa Cruz de Tenerife;23796911
3024;septiembre;Santa Cruz de Tenerife;23796911
3025;octubre;Santa Cruz de Tenerife;23796911
3026;noviemrbe;Santa Cruz de Tenerife;23796911
3027;diciembre;Santa Cruz de Tenerife;23796911
3028;enero;Santa Cruz de Tenerife;23831522
3029;febrero;Santa Cruz de Tenerife;23831522
3030;marzo;Santa Cruz de Tenerife;23831522
3031;abril;Santa Cruz de Tenerife;23831522
3032;mayo;Santa Cruz de Tenerife;23831522
3033;junio;Santa Cruz de Tenerife;23831522
3034;julio;Santa Cruz de Tenerife;23831522
3035;agosto;Santa Cruz de Tenerife;23831522
3036;septiembre;Santa Cruz de Tenerife;23831522
3037;octubre;Santa Cruz de Tenerife;23831522
3038
